restaurantname,pricerange,area,food,phone,addr,postcode,quality,stay,crowdedness
michaelhouse cafe,expensive,centre,european,01223 309147,st. michael's church trinity street city centre,c.b 2,bad,long,busy
midsummer house restaurant,expensive,centre,british,01223 369299,midsummer common,,bad,long,busy
nandos,cheap,south,portuguese,01223 327908,cambridge leisure park clifton way,c.b 1,bad,short,not busy
nandos city centre,cheap,centre,portuguese,01223 327908,33-34 saint andrews street,c.b 2,bad,long,not busy
panahar,expensive,centre,mediterranean,,,,bad,long,busy
peking restaurant,expensive,south,chinese,01223 354755,10 homerton street city centre,c.b 2,bad,short,not busy
pipasha restaurant,expensive,east,indian,01223 577786,newmarket road fen ditton,c.b 5,bad,short,busy
pizza express,cheap,centre,spanish,01223 324033,,c.b 2,bad,long,not busy
pizza express fen ditton,moderate,centre,european,,jesus lane fen ditton,,good,short,not busy
pizza hut cherry hinton,moderate,south,italian,01223 323737,g4 cambridge leisure park clifton way cherry hinton,c.b 1,bad,short,not busy
pizza hut city centre,cheap,centre,italian,01223 323737,regent street city centre,,bad,long,not busy
pizza hut fen ditton,moderate,east,italian,01223 323737,cambridge retail park newmarket road fen ditton,c.b 5,good,short,busy
prezzo,moderate,west,italian,01799 521260,21 - 24 northampton road,c.b 3,good,short,busy
rajmahal,moderate,east,indian,01223 244955,7 barnwell road fen ditton,c.b 5,bad,long,not busy
restaurant alimentum,moderate,north,modern european,01223 413000,152 - 154 hills road,c.b 2,bad,short,not busy
restaurant one seven,moderate,north,british,01223 337766,de vere university arms regent street city centre,,bad,long,not busy
restaurant two two,expensive,north,french,01223 351880,22 chesterton road chesterton,c.b 4,bad,short,not busy
rice boat,expensive,north,indian,01223 302800,37 newnham road newnham,,good,long,not busy
rice house,cheap,south,chinese,01223 367755,88 mill road city centre,,bad,short,not busy
riverside brasserie,moderate,centre,gastropub,01223 259988,doubletree by hilton cambridge granta place mill lane,,bad,long,busy
royal spice,cheap,north,indian,01733 553355,victoria avenue chesterton,c.b 4,bad,short,busy
royal standard,expensive,east,spanish,01223 247877,290 mill road city centre,c.b 1,bad,long,not busy
saffron brasserie,expensive,centre,jamaican,,,,good,long,busy
saigon city,expensive,north,asian oriental,01223 356555,169 high street chesterton chesterton,c.b 4,bad,short,not busy
saint johns chop house,moderate,west,british,01223 353110,21 - 24 northampton street,c.b 3,good,long,busy
sala thong,expensive,west,thai,01223 323178,35 newnham road newnham,c.b 3,good,long,not busy
sesame restaurant and bar,moderate,,turkish,,,,good,long,busy
shanghai family restaurant,moderate,east,chinese,01223 301761,39 burleigh street city centre,,good,long,busy
shiraz restaurant,expensive,centre,mediterranean,01223 307581,84 regent street city centre,c.b 2,bad,short,not busy
sitar tandoori,expensive,east,steakhouse,01223 249955,43 high street cherry hinton cherry hinton,c.b 1,bad,short,busy
stazione restaurant and coffee bar,expensive,centre,korean,01223 352607,market hill city centre,,good,long,not busy
taj tandoori,expensive,south,portuguese,01223 412299,64 cherry hinton road cherry hinton,c.b 1,good,long,busy
tandoori palace,moderate,north,indian,01223 506055,68 histon road chesterton,c.b 4,bad,long,busy
thanh binh,cheap,west,vietnamese,01223 362456,17 magdalene street city centre,c.b 3,good,long,busy
the cambridge chop house,cheap,centre,british,01223 359506,1 kings parade,,bad,long,not busy
the copper kettle,moderate,east,british,01223 365068,4 kings parade city centre,c.b 2,bad,long,busy
the cow pizza kitchen and bar,moderate,centre,moroccan,01223 308871,corn exchange street,c.b 2,bad,long,not busy
the gandhi,cheap,centre,indian,01223 353942,72 regent street city centre,,good,short,not busy
the gardenia,moderate,west,romanian,01223 356354,2 rose crescent city centre,c.b 2,good,long,not busy
the golden curry,expensive,south,australasian,01223 329432,,,bad,short,busy
the good luck chinese food takeaway,expensive,south,chinese,01223 244149,82 cherry hinton road cherry hinton,c.b 1,good,long,not busy
the hotpot,expensive,north,chinese,01223 366552,66 chesterton road chesterton,c.b 4,good,short,busy
the lucky star,cheap,south,chinese,01223 244277,cambridge leisure park clifton way cherry hinton,c.b 1,good,short,busy
the missing sock,cheap,south,chinese,01223 812660,finders corner newmarket road,c.b 25,good,short,busy
the nirala,moderate,north,indian,01223 360966,7 milton road chesterton,c.b 4,good,short,not busy
the oak bistro,moderate,centre,british,01223 323361,6 lensfield road,,bad,short,busy
the river bar steakhouse and grill,cheap,centre,modern european,01223 307030,quayside off bridge street,c.b 5,bad,long,busy
the slug and lettuce,expensive,east,gastropub,dontcare,34 - 35 green street,c.b 2,good,short,not busy
the varsity restaurant,moderate,centre,international,01223 356060,35 saint andrews street city centre,c.b 2,good,short,busy
travellers rest,expensive,west,british,01223 276182,huntingdon road city centre,,bad,long,busy
ugly duckling,expensive,centre,catalan,,12 st. johns street city centre,,good,long,busy
wagamama,expensive,centre,japanese,01223 462354,36 saint andrews street,c.b 2,good,short,not busy
yippee noodle bar,moderate,centre,asian oriental,01223 518111,40428 king street city centre,c.b 1,good,short,not busy
yu garden,expensive,east,chinese,01223 248882,529 newmarket road fen ditton,c.b 5,good,long,not busy
zizzi cambridge,expensive,south,italian,01223 365599,47-53 regent street,,bad,short,not busy
